List configuration,Seconds,#Data,#Loop,#Data assignments,#Loop Assignments,# Other,Total
Sorted N=500,0.038867950439453125,124751,125249,125749,500,0,376249
Sorted N = 1000,0.03977227210998535,124751,125249,125749,500,0,376249
Sorted N=5000,0.04074907302856445,124751,125249,125749,500,0,376249
Sorted N=10000,0.03809094429016113,124751,125249,125749,500,0,376249
Descending sorted N=500,0.06246590614318848,124751,125249,499999,500,0,750499
Descending sorted N=1000,0.061234235763549805,124751,125249,499999,500,0,750499
Descending sorted N=5000,0.06392598152160645,124751,125249,499999,500,0,750499
Descending sorted N=10000,0.05955100059509277,124751,125249,499999,500,0,750499
Random N=500,0.04825997352600098,124751,125249,316069,500,0,566569
Random N=1000,0.05733489990234375,124751,125249,318469,500,0,568969
Random N=5000,0.051860809326171875,124751,125249,316426,500,0,566926
Random N=10000,0.049603939056396484,124751,125249,310708,500,0,561208
