List configuration,Seconds,#Data,#Loop,#Data assignments,#Loop Assignments,# Other,Total
Sorted N=500,0.1910707950592041,0,3514,10528,3515,0,17557
Sorted N = 1000,0.1881401538848877,0,3514,10528,3515,0,17557
Sorted N=5000,0.19179105758666992,0,3514,10528,3515,0,17557
Sorted N=10000,0.19859004020690918,0,3514,10528,3515,0,17557
Descending sorted N=500,0.2838766574859619,0,5614,14728,3515,0,23857
Descending sorted N=1000,0.2778129577636719,0,5614,14728,3515,0,23857
Descending sorted N=5000,0.2919888496398926,0,5614,14728,3515,0,23857
Descending sorted N=10000,0.2866208553314209,0,5614,14728,3515,0,23857
Random N=500,0.339674711227417,0,6522,16544,3515,0,26581
Random N=1000,0.30527210235595703,0,6232,15964,3515,0,25711
Random N=5000,0.3164362907409668,0,6327,16154,3515,0,25996
Random N=10000,0.32061100006103516,0,6420,16340,3515,0,26275
