List configuration,Seconds,#Data,#Loop,#Data assignments,#Loop Assignments,# Other,Total
Sorted N=500,0.00018310546875,501,500,503,2,0,1506
Sorted N = 1000,0.00018596649169921875,501,500,503,2,0,1506
Sorted N=5000,0.0001819133758544922,501,500,503,2,0,1506
Sorted N=10000,0.00018095970153808594,501,500,503,2,0,1506
Descending sorted N=500,0.08014631271362305,125251,125250,500501,501,0,751503
Descending sorted N=1000,0.07696914672851562,125251,125250,500501,501,0,751503
Descending sorted N=5000,0.07702994346618652,125251,125250,500501,501,0,751503
Descending sorted N=10000,0.07766389846801758,125251,125250,500501,501,0,751503
Random N=500,0.06483769416809082,125041,125040,312553,481,0,563115
Random N=1000,0.06504487991333008,125185,125184,320602,490,0,571461
Random N=5000,0.06401205062866211,125098,125097,314113,484,0,564792
Random N=10000,0.06405091285705566,125146,125145,305302,487,0,556080
