List configuration,Seconds,#Data,#Loop,#Data assignments,#Loop Assignments,# Other,Total
Sorted N=500,0.06368303298950195,124751,125249,125749,500,0,376249
Sorted N = 1000,0.06183314323425293,124751,125249,125749,500,0,376249
Sorted N=5000,0.06137490272521973,124751,125249,125749,500,0,376249
Sorted N=10000,0.06099581718444824,124751,125249,125749,500,0,376249
Descending sorted N=500,0.09068799018859863,124751,125249,499999,500,0,750499
Descending sorted N=1000,0.09539008140563965,124751,125249,499999,500,0,750499
Descending sorted N=5000,0.09471893310546875,124751,125249,499999,500,0,750499
Descending sorted N=10000,0.09122729301452637,124751,125249,499999,500,0,750499
Random N=500,0.07836508750915527,124751,125249,312301,500,0,562801
Random N=1000,0.0801231861114502,124751,125249,320188,500,0,570688
Random N=5000,0.07764625549316406,124751,125249,313798,500,0,564298
Random N=10000,0.07671689987182617,124751,125249,304933,500,0,555433
