List configuration,Seconds,#Data,#Loop,#Data assignments,#Loop Assignments,# Other,Total
Sorted N=500,0.002588987350463867,10311,1773,14354,499,0,26937
Sorted N = 1000,0.0024361610412597656,10311,1773,14354,499,0,26937
Sorted N=5000,0.0026450157165527344,10311,1773,14354,499,0,26937
Sorted N=10000,0.0023658275604248047,10311,1773,14354,499,0,26937
Descending sorted N=500,0.0026941299438476562,10143,1773,14186,499,0,26601
Descending sorted N=1000,0.0023920536041259766,10143,1773,14186,499,0,26601
Descending sorted N=5000,0.002485990524291992,10143,1773,14186,499,0,26601
Descending sorted N=10000,0.002792835235595703,10143,1773,14186,499,0,26601
Random N=500,0.003461122512817383,15069,1773,19112,499,0,36453
Random N=1000,0.003329038619995117,15048,1773,19091,499,0,36411
Random N=5000,0.0033609867095947266,15015,1773,19058,499,0,36345
Random N=10000,0.0034449100494384766,15078,1773,19121,499,0,36471
