List configuration,Seconds,#Data,#Loop,#Data assignments,#Loop Assignments,# Other,Total
Sorted N=500,13.930637836456299,42541749,42665998,85211739,129741,0,170549227
Sorted N = 1000,13.926869869232178,42541749,42665998,85211739,129741,0,170549227
Sorted N=5000,14.057031869888306,42541749,42665998,85211739,129741,0,170549227
Sorted N=10000,14.0819730758667,42541749,42665998,85211739,129741,0,170549227
Descending sorted N=500,10.286794185638428,31876499,32000748,63881239,129491,0,127887977
Descending sorted N=1000,10.185642957687378,31876499,32000748,63881239,129491,0,127887977
Descending sorted N=5000,10.16218900680542,31876499,32000748,63881239,129491,0,127887977
Descending sorted N=10000,10.321398735046387,31876499,32000748,63881239,129491,0,127887977
Random N=500,0.9639589786529541,2857955,2862479,5724105,13731,0,11458270
Random N=1000,0.9429712295532227,2931189,2936155,5870969,14031,0,11752344
Random N=5000,0.9214498996734619,2885922,2890745,5780298,13932,0,11570897
Random N=10000,0.8906760215759277,2806751,2811155,5621547,13691,0,11253144
