List configuration,Seconds,#Data,#Loop,#Data assignments,#Loop Assignments,# Other,Total
Sorted N=500,0.8959379196166992,2716653,2720666,5444834,14034,0,10896187
Sorted N = 1000,0.8969120979309082,2716653,2720666,5444834,14034,0,10896187
Sorted N=5000,0.9051961898803711,2716653,2720666,5444834,14034,0,10896187
Sorted N=10000,0.8840022087097168,2716653,2720666,5444834,14034,0,10896187
Descending sorted N=500,1.3050789833068848,4026181,4032294,8068090,19844,0,16146409
Descending sorted N=1000,1.299226999282837,4026181,4032294,8068090,19844,0,16146409
Descending sorted N=5000,1.3207001686096191,4026181,4032294,8068090,19844,0,16146409
Descending sorted N=10000,1.2991769313812256,4026181,4032294,8068090,19844,0,16146409
Random N=500,1.6479580402374268,4780577,4787623,9578748,22878,0,19169826
Random N=1000,1.5810492038726807,4629116,4636040,9275582,22491,0,18563229
Random N=5000,1.5164752006530762,4670373,4677251,9358004,22368,0,18727996
Random N=10000,1.5446979999542236,4741031,4747969,9499440,22556,0,19010996
